"UMAP_1" "UMAP_2" "CellPopulation"
"1" 3.56889622522363 7.54137579316362 "Late sieve elements"
"2" 2.95388071847924 -4.48673137312667 "Late spongy mesophyll"
"3" 5.02986805749902 -1.96112664824263 "Spongy mesophyll"
"4" -1.29184050249091 1.07796601170762 "Early hydathode"
"5" 2.83383744073876 -2.2823122370793 "Spongy mesophyll"
"6" 4.07959025217065 -3.38439448958175 "Late spongy mesophyll"
"7" 5.18009703470239 -3.31481631880538 "Spongy mesophyll"
"8" 1.49889140439996 -1.51990636473433 "Spongy mesophyll"
"9" 5.03526537729272 3.46325007790788 "Late bundle sheath"
"10" 0.927063664922801 -6.93477424269454 "Late palisade mesophyll"
"11" 2.53808420015344 -2.37487300520675 "Spongy mesophyll"
"12" 1.90189366651544 0.872487611715633 "Early spongy mesophyll"
"13" 1.43460576845178 -2.78232391958968 "Spongy mesophyll"
"14" 0.421603075729994 -4.2378319132878 "Spongy mesophyll"
"15" 3.27751558137902 -6.11989959364669 "Spongy mesophyll"
"16" 0.374778675416795 -1.18087252264754 "Early spongy mesophyll"
"17" -2.50707704709998 -4.81485780363814 "Early palisade mesophyll"
"18" 3.32967560602197 -3.07828839903609 "Spongy mesophyll"
"19" 5.378961971531 3.26255074853166 "Late bundle sheath"
"20" 2.64615528894433 -6.45791419630782 "Palisade mesophyll"
"21" 4.95166771722802 -1.67734511976973 "Spongy mesophyll"
"22" 0.727230867872325 -5.21939595824019 "Palisade mesophyll"
"23" 3.03752940011987 -3.03068503027694 "Spongy mesophyll"
"24" 0.208678430447665 -7.40680726652877 "Late palisade mesophyll"
"25" 3.07014267755517 0.413263536636669 "Early hydathode"
"26" 0.495012945065585 10.0620800625728 "Early guard cells"
"27" 1.23404144359597 -6.81990750914351 "Palisade mesophyll"
"28" 1.80830030752191 -6.8301752436711 "Palisade mesophyll"
"29" -0.619717666377934 -5.25949033385054 "Palisade mesophyll"
"30" 3.38158243013391 -5.13687261229293 "Palisade mesophyll"
"31" 2.55916230989465 -6.70374902373092 "Palisade mesophyll"
"32" -2.52863151716224 -5.68505605345504 "Late myrosin idioblasts"
"33" 1.7012926848031 -5.85347684508101 "Palisade mesophyll"
"34" 3.50542848421106 -2.36296447401778 "Spongy mesophyll"
"35" -1.58388597654334 -4.66148694639937 "Early palisade mesophyll"
"36" -1.71744758771888 -6.7546604502751 "Late palisade mesophyll"
"37" 1.7755581648446 -6.44481595640914 "Palisade mesophyll"
"38" -3.9330120770835 -6.08911689406173 "Late myrosin idioblasts"
"39" 3.48217623544702 9.01911989564164 "Late sieve elements"
"40" -0.56135315584174 -7.34536203032271 "Late palisade mesophyll"
"41" 5.05546801401147 -0.280526839549702 "Early hydathode"
"42" 0.0243266732788956 -5.27465566283004 "Palisade mesophyll"
"43" 1.62863450361261 -2.42411717062728 "Spongy mesophyll"
"44" 4.29938190294274 -1.86071952467696 "Spongy mesophyll"
"45" 1.21420084548959 6.37251726502641 "Phloem parenchyma"
"46" 4.14252465082177 4.6213685643123 "Late bundle sheath"
"47" 2.11575012517938 1.12630841845735 "Early spongy mesophyll"
"48" -2.66019255804053 -5.58991702681319 "Late myrosin idioblasts"
"49" -1.55184478448859 -6.9323685992314 "Late palisade mesophyll"
"50" 4.8059844286538 2.21576694363816 "Late bundle sheath"
"51" 4.39806764436731 6.1788579594539 "Late procambium"
"52" -0.239657410850438 6.94435421342118 "Late phloem parenchyma"
"53" -2.65953261541358 8.84654442185624 "Early sieve elements"
"54" 0.331134675572006 -7.30025037413375 "Late palisade mesophyll"
"55" 2.12992315603265 -4.69523700361983 "Spongy mesophyll"
"56" -5.04294449972144 4.00964919442399 "Adaxial epidermis"
"57" 4.00762956453332 -3.93066152220504 "Late spongy mesophyll"
"58" 0.925055197010127 -5.65129312163131 "Palisade mesophyll"
"59" 2.23530190301904 -6.88148292189376 "Palisade mesophyll"
"60" -4.98391968893042 3.06630293244584 "Adaxial epidermis"
"61" 0.49493336541423 -4.98785194044844 "Palisade mesophyll"
"62" -0.942614385356816 -5.17881759291426 "Early palisade mesophyll"
"63" 4.00282829118737 -2.35343035345809 "Spongy mesophyll"
"64" 3.21459477258691 -3.04282673483626 "Spongy mesophyll"
"65" -2.38199169324866 -5.02581723814742 "Late myrosin idioblasts"
"66" -2.92590958761207 -5.43480332976119 "Late myrosin idioblasts"
"67" 2.67131798578271 -4.80045302992598 "Late spongy mesophyll"
"68" 2.6940848143197 -4.61155637388961 "Spongy mesophyll"
"69" -1.8913713185691 -5.50019630080001 "Early palisade mesophyll"
"70" 4.21089880777368 -2.70982297545211 "Spongy mesophyll"
"71" 2.51904528451928 -6.72068914061324 "Palisade mesophyll"
"72" 4.92005102945337 -2.55984052305953 "Spongy mesophyll"
"73" 2.79895513368615 7.00890032166703 "Late sieve elements"
"74" -0.610245653858098 -5.421902500446 "Early palisade mesophyll"
"75" 4.50453989816674 -4.51495441084639 "Late spongy mesophyll"
"76" 0.659093043336955 -5.17974313383834 "Palisade mesophyll"
"77" 2.76418702913293 -6.54633458739058 "Palisade mesophyll"
"78" 3.32509844614038 4.99015966767533 "Late procambium"
"79" 3.75511639429101 2.49940148705705 "Early bundle sheath"
"80" 2.2255607159234 -0.639855705554646 "Early spongy mesophyll"
"81" 4.81778948617944 -2.30637892370955 "Spongy mesophyll"
"82" -3.23175818609229 -5.67861350661055 "Late myrosin idioblasts"
"83" 3.19665806604394 -5.21609481459395 "Late spongy mesophyll"
"84" 5.22491400552758 3.23916093224748 "Late bundle sheath"
